sale_id,sale_date,region,country,brand,model,tier,body_type,model_year,age_years,fuel_type,transmission,engine_displacement_l,horsepower,mileage_km,color,n_owners,accidents,sales_channel,country_of_origin,sale_price_usd
S000014,2026-02-01,Eastern Europe,Poland,Lexus,IS,premium,sedan,2026,0.08,petrol,automatic,2.0,147,2794,silver,1,0,dealer_new,Japan,45118.9
S000015,2024-01-16,Western Europe,Germany,Tesla,Model 3,premium,sedan,2024,0.04,electric,automatic,2.0,146,0,grey,1,0,dealer_used,USA,58453.62
S000016,2025-11-27,North America,Canada,Toyota,Hilux,mass,pickup,2022,3.9,electric,automatic,3.0,287,87308,orange,1,0,dealer_used,Japan,13213.55
S000017,2025-05-29,Western Europe,Germany,Mercedes-Benz,EQE,premium,sedan,2024,1.41,hybrid,manual,3.0,235,26890,white,1,2,dealer_used,Germany,42206.88
S000018,2025-11-11,Western Europe,Germany,Chery,Arrizo 5,mass,sedan,2020,5.86,diesel,manual,1.4,105,62262,red,1,0,private,China,4302.94
S000019,2026-01-10,Western Europe,UK,Geely,Coolray,mass,suv,2026,0.02,petrol,dct,1.4,90,0,silver,1,2,online_marketplace,China,20528.98
S000020,2025-11-10,North America,Mexico,Audi,Q7,premium,suv,2024,1.86,petrol,cvt,3.0,387,26639,blue,1,0,private,Germany,60116.41
S000021,2024-09-14,Western Europe,Spain,Skoda,Kodiaq,mass,suv,2024,0.7,hybrid,cvt,2.0,166,12939,black,1,0,auction,Czechia,27457.35
S000022,2021-09-02,North America,Canada,Kia,Sorento,mass,suv,2020,1.67,hybrid,automatic,3.0,361,21648,brown,1,0,dealer_new,South Korea,25825.47
S000023,2026-04-12,Western Europe,Sweden,Tata,Nexon,mass,suv,2020,6.28,petrol,automatic,1.4,112,116054,brown,3,0,dealer_used,India,2646.51
S000024,2026-01-12,North America,Canada,Toyota,Land Cruiser,mass,suv,2025,1.03,hybrid,automatic,3.0,305,24193,black,1,0,private,Japan,33344.3
S000025,2023-05-23,Western Europe,Italy,Fiat,500,mass,hatchback,2023,0.39,petrol,automatic,1.4,104,6869,orange,1,0,online_marketplace,Italy,13364.32
S000026,2025-06-10,North America,Canada,Volkswagen,Tiguan,mass,suv,2025,0.44,petrol,automatic,2.0,144,0,black,1,0,dealer_used,Germany,37141.52
S000027,2026-04-28,Western Europe,Netherlands,Tesla,Model Y,premium,suv,2026,0.32,electric,automatic,2.0,186,6413,black,1,0,dealer_used,USA,62863.83
S000028,2023-12-23,Eastern Europe,Romania,Tesla,Model Y,premium,suv,2023,0.97,electric,automatic,2.0,193,17371,orange,1,1,dealer_used,USA,42247.83
S000029,2026-03-23,Western Europe,Sweden,Mercedes-Benz,GLC,premium,suv,2024,2.22,petrol,automatic,2.0,199,46354,silver,1,0,private,Germany,45241.9
S000030,2026-03-20,Latin America,Argentina,Audi,A4,premium,sedan,2026,0.21,petrol,manual,2.0,165,3565,green,1,1,dealer_used,Germany,32705.89
S000031,2026-01-30,Japan,Japan,Ford,Fusion,mass,sedan,2025,1.08,diesel,manual,2.0,158,19788,grey,4,0,private,USA,17804.11
S000032,2026-04-25,India,India,Mazda,Mazda6,mass,sedan,2026,0.31,lpg,automatic,2.0,207,0,orange,1,0,online_marketplace,Japan,12254.58
S000033,2026-01-28,Eastern Europe,Czechia,Volvo,S60,premium,sedan,2025,1.07,petrol,automatic,2.0,197,13764,grey,1,0,dealer_used,Sweden,34697.73
S000034,2024-11-08,China,China,Hyundai,Kona,mass,suv,2023,1.85,petrol,automatic,1.4,134,32862,grey,1,1,auction,South Korea,12263.1
S000035,2024-03-09,Latin America,Brazil,Geely,Emgrand,mass,sedan,2022,2.18,petrol,dct,1.4,114,43227,green,2,0,auction,China,7636.05
S000036,2026-03-21,Western Europe,Italy,Honda,CR-V,mass,suv,2026,0.22,hybrid,cvt,2.0,191,0,brown,1,0,dealer_new,Japan,37951.11
S000037,2024-12-11,China,China,Chery,Tiggo 7,mass,suv,2024,0.94,petrol,automatic,2.0,146,11571,green,1,0,dealer_new,China,18013.43
S000038,2021-10-09,Africa,Nigeria,Kia,Rio,mass,hatchback,2019,2.77,electric,automatic,1.4,139,43845,silver,1,0,dealer_used,South Korea,9121.78
S000039,2026-02-03,Latin America,Colombia,Audi,A6,premium,sedan,2025,1.09,diesel,dct,3.0,262,15253,black,3,0,private,Germany,35996.81
S000040,2026-02-17,Latin America,Argentina,Honda,Accord,mass,sedan,2025,1.13,diesel,automatic,2.0,153,20173,white,1,0,dealer_used,Japan,17949.74
S000041,2026-03-01,China,China,Toyota,Hilux,mass,pickup,2025,1.16,petrol,dct,3.0,345,14606,silver,4,0,dealer_used,Japan,29342.6
S000042,2026-02-05,China,China,Geely,Emgrand,mass,sedan,2026,0.1,petrol,automatic,1.4,107,2531,yellow,1,0,private,China,15255.19
S000043,2024-07-19,Western Europe,Italy,Land Rover,Defender,luxury,suv,2023,1.55,petrol,cvt,3.0,344,13201,grey,2,0,private,UK,92339.99
S000044,2024-05-13,China,China,Tesla,Model 3,premium,sedan,2023,1.36,electric,automatic,2.0,151,8653,yellow,1,0,online_marketplace,USA,40762.89
S000045,2021-09-02,China,China,BYD,Dolphin,mass,hatchback,2021,0.67,electric,automatic,1.4,109,2296,silver,1,0,private,China,18704.3
S000046,2023-12-28,South Korea,South Korea,Mahindra,XUV700,mass,suv,2018,5.99,petrol,automatic,3.0,295,129855,white,2,0,dealer_used,India,4123.14
S000047,2023-04-16,Southeast Asia,Philippines,Nissan,Sentra,mass,sedan,2023,0.29,petrol,automatic,1.4,126,10234,black,1,1,dealer_used,Japan,15292.41
S000048,2025-11-07,North America,USA,Porsche,Macan,luxury,suv,2025,0.85,lpg,automatic,2.0,150,11987,orange,1,0,online_marketplace,Germany,84379.27
S000049,2026-05-01,Western Europe,Spain,Mahindra,Scorpio,mass,suv,2025,1.33,diesel,automatic,2.0,212,16470,blue,1,0,dealer_used,India,16221.83
S000050,2025-12-04,Eastern Europe,Hungary,Skoda,Octavia,mass,sedan,2024,1.92,diesel,automatic,2.0,176,29434,brown,3,0,dealer_used,Czechia,13035.5
S000051,2026-04-24,China,China,Chery,Tiggo 7,mass,suv,2024,2.31,petrol,cvt,2.0,149,24969,black,1,0,dealer_used,China,12446.58
S000052,2025-10-12,Eastern Europe,Poland,Chery,Arrizo 5,mass,sedan,2022,3.78,diesel,manual,1.4,110,82003,white,2,3,dealer_used,China,3134.25
S000053,2025-10-12,North America,USA,Jeep,Compass,mass,suv,2024,1.78,electric,automatic,2.0,196,28633,yellow,1,0,private,USA,29629.63
S000054,2024-10-24,China,China,Porsche,Taycan,luxury,sedan,2023,1.81,diesel,automatic,3.0,414,24719,orange,1,1,online_marketplace,Germany,83629.67
S000055,2025-04-15,Eastern Europe,Poland,Kia,Sportage,mass,suv,2025,0.28,hybrid,automatic,2.0,219,5770,blue,1,0,private,South Korea,24213.75
S000056,2022-08-21,China,China,BYD,Dolphin,mass,hatchback,2022,0.64,electric,automatic,1.4,125,13974,silver,1,0,private,China,18612.87
S000057,2025-11-06,China,China,Jeep,Grand Cherokee,mass,suv,2023,2.85,petrol,automatic,3.0,340,40903,black,2,0,dealer_used,USA,28162.97
S000058,2024-01-09,India,India,Geely,Emgrand,mass,sedan,2021,3.02,lpg,automatic,1.4,127,35396,orange,3,0,online_marketplace,China,4303.87
S000059,2026-02-20,Africa,South Africa,Chevrolet,Malibu,mass,sedan,2025,1.14,petrol,cvt,2.0,192,10668,silver,1,0,private,USA,13854.19
S000060,2025-03-21,Southeast Asia,Philippines,Nissan,Leaf,mass,hatchback,2025,0.22,diesel,automatic,1.4,90,6737,blue,1,0,private,Japan,12597.04
S000061,2026-03-04,China,China,Geely,Emgrand,mass,sedan,2026,0.17,electric,automatic,1.4,114,2122,black,1,0,private,China,16515.84
S000062,2022-08-21,North America,USA,Volvo,XC40,premium,suv,2019,3.64,petrol,automatic,1.4,118,67952,red,1,0,dealer_used,Sweden,26557.25
S000063,2025-04-09,China,China,Kia,Rio,mass,hatchback,2022,3.27,electric,automatic,1.4,129,62954,blue,2,0,online_marketplace,South Korea,7268.75
S000064,2025-08-22,China,China,Jeep,Grand Cherokee,mass,suv,2025,0.64,petrol,dct,3.0,370,11264,green,1,1,dealer_new,USA,42825.74
S000065,2025-03-05,Western Europe,UK,Mercedes-Benz,GLC,premium,suv,2022,3.17,lpg,automatic,2.0,142,61913,white,2,1,online_marketplace,Germany,31364.39
S000066,2025-12-04,Western Europe,Sweden,Fiat,Tipo,mass,sedan,2025,0.92,diesel,automatic,1.4,102,8585,black,1,1,private,Italy,13167.27
S000067,2025-03-31,Western Europe,Italy,Honda,CR-V,mass,suv,2025,0.24,petrol,automatic,2.0,156,9328,red,1,0,online_marketplace,Japan,31909.19
S000068,2022-07-13,India,India,Mahindra,Scorpio,mass,suv,2020,2.53,hybrid,automatic,2.0,183,32488,green,2,2,dealer_used,India,4765.99
S000069,2024-02-20,India,India,Volkswagen,Golf,mass,hatchback,2022,2.14,petrol,cvt,1.4,119,36773,black,1,0,private,Germany,8780.14
S000070,2026-04-22,China,China,Porsche,Taycan,luxury,sedan,2021,5.3,petrol,automatic,3.0,399,80962,black,3,0,dealer_used,Germany,49968.45
S000071,2024-10-13,Eastern Europe,Hungary,BMW,5 Series,premium,sedan,2024,0.78,diesel,cvt,3.0,326,16021,yellow,1,0,dealer_new,Germany,42671.55
S000072,2026-02-28,Western Europe,Netherlands,Fiat,Panda,mass,hatchback,2026,0.16,petrol,manual,1.4,107,5816,brown,1,2,dealer_new,Italy,15209.0
S000073,2026-04-12,Western Europe,France,Porsche,Cayenne,luxury,suv,2024,2.28,hybrid,automatic,3.0,237,39155,silver,2,1,dealer_used,Germany,108898.22
S000074,2023-10-26,China,China,Mazda,Mazda3,mass,hatchback,2022,1.82,petrol,cvt,1.4,98,26878,silver,1,0,auction,Japan,12075.71
S000075,2024-11-05,Eastern Europe,Romania,Jeep,Wrangler,mass,suv,2019,5.85,diesel,dct,3.0,335,78382,white,1,0,dealer_used,USA,10804.0
S000076,2025-10-27,Middle East,UAE,Geely,Atlas,mass,suv,2025,0.82,petrol,automatic,2.0,217,5366,brown,1,0,dealer_used,China,24738.03
S000077,2025-04-21,China,China,Geely,Coolray,mass,suv,2025,0.3,hybrid,cvt,1.4,131,4335,green,1,0,dealer_used,China,21578.17
S000078,2025-02-17,Eastern Europe,Romania,Fiat,500,mass,hatchback,2025,0.13,electric,automatic,1.4,133,0,red,1,1,dealer_used,Italy,14538.54
S000079,2023-04-16,China,China,Land Rover,Range Rover,luxury,suv,2023,0.29,electric,automatic,3.0,310,5419,red,1,0,dealer_used,UK,122792.23
S000080,2026-03-09,India,India,Tata,Tiago,mass,hatchback,2025,1.18,diesel,automatic,1.4,97,18593,brown,2,0,dealer_new,India,4468.41
S000081,2023-01-13,Middle East,Qatar,Renault,Clio,mass,hatchback,2023,0.03,hybrid,automatic,1.4,107,2046,green,1,0,private,France,20863.85
S000082,2025-10-18,China,China,Jeep,Grand Cherokee,mass,suv,2025,0.79,petrol,cvt,3.0,260,6485,silver,1,0,private,USA,34421.13
S000083,2024-11-15,China,China,Jeep,Grand Cherokee,mass,suv,2022,2.87,diesel,automatic,3.0,344,56659,blue,2,0,private,USA,20816.52
S000084,2022-09-03,Africa,South Africa,Toyota,RAV4,mass,suv,2022,0.67,diesel,cvt,2.0,167,17239,silver,1,0,dealer_used,Japan,22919.01
S000085,2025-07-30,Western Europe,Spain,Land Rover,Range Rover,luxury,suv,2023,2.58,petrol,cvt,3.0,238,58364,brown,1,0,private,UK,55595.26
S000086,2021-03-09,Australia/NZ,Australia,Land Rover,Discovery,luxury,suv,2020,1.19,hybrid,dct,3.0,337,23805,orange,3,0,auction,UK,92521.32
S000087,2025-06-29,Western Europe,Sweden,Volkswagen,ID.4,mass,suv,2025,0.49,diesel,automatic,2.0,154,1218,silver,1,0,dealer_new,Germany,36904.92
S000088,2025-08-01,South Korea,South Korea,Hyundai,Kona,mass,suv,2024,1.58,hybrid,cvt,1.4,119,28414,red,2,1,dealer_used,South Korea,15215.39
S000089,2025-07-14,North America,Canada,BMW,X3,premium,suv,2023,2.53,petrol,automatic,2.0,215,50467,blue,3,0,online_marketplace,Germany,37504.98
S000090,2026-02-27,Eastern Europe,Poland,Chevrolet,Malibu,mass,sedan,2026,0.16,diesel,automatic,2.0,181,6841,red,1,3,dealer_new,USA,18486.4
S000091,2024-08-02,China,China,Skoda,Kodiaq,mass,suv,2023,1.59,petrol,automatic,2.0,196,16745,brown,2,0,dealer_used,Czechia,19769.69
S000092,2026-02-09,Western Europe,UK,Volvo,XC60,premium,suv,2026,0.11,petrol,automatic,2.0,182,6750,green,1,0,private,Sweden,53027.08
S000093,2025-12-17,North America,Mexico,Chevrolet,Equinox,mass,suv,2025,0.96,hybrid,cvt,2.0,156,15488,green,1,0,dealer_new,USA,27786.01
S000094,2025-09-17,Western Europe,Sweden,BMW,5 Series,premium,sedan,2025,0.71,petrol,automatic,3.0,255,19504,orange,1,0,dealer_used,Germany,49879.37
S000095,2025-11-16,South Korea,South Korea,Tesla,Model Y,premium,suv,2025,0.87,electric,automatic,2.0,160,12370,yellow,1,0,dealer_used,USA,49136.64
S000096,2026-01-25,China,China,Skoda,Octavia,mass,sedan,2026,0.07,electric,automatic,2.0,179,0,yellow,1,0,dealer_new,Czechia,26040.28
S000097,2025-08-06,Western Europe,Spain,Jeep,Wrangler,mass,suv,2022,3.59,hybrid,manual,3.0,271,37086,black,1,0,dealer_used,USA,29580.49
S000098,2026-02-23,Eastern Europe,Czechia,BYD,Atto 3,mass,suv,2026,0.15,hybrid,dct,2.0,168,5738,grey,1,0,dealer_new,China,27445.97
S000099,2024-04-19,Western Europe,UK,Geely,Emgrand,mass,sedan,2019,5.3,petrol,manual,1.4,131,73103,yellow,1,0,dealer_used,China,5555.73
S000100,2025-07-25,China,China,Mazda,Mazda6,mass,sedan,2023,2.56,petrol,manual,2.0,170,68015,yellow,1,0,private,Japan,11033.47
S000101,2024-09-30,Western Europe,France,Peugeot,208,mass,hatchback,2021,3.75,petrol,automatic,1.4,129,103947,black,1,2,auction,France,4795.92
S000102,2022-09-14,Southeast Asia,Thailand,Mercedes-Benz,GLC,premium,suv,2020,2.7,hybrid,automatic,2.0,172,39949,brown,1,0,dealer_new,Germany,30934.53
S000103,2021-10-04,China,China,Geely,Emgrand,mass,sedan,2021,0.76,lpg,automatic,1.4,119,19369,yellow,1,0,dealer_new,China,14018.34
S000104,2023-01-02,Western Europe,UK,BMW,i4,premium,sedan,2021,2.0,petrol,cvt,2.0,200,10472,red,2,0,dealer_used,Germany,48107.33
S000105,2026-03-27,Eastern Europe,Hungary,Chery,Tiggo 4,mass,suv,2024,2.23,electric,automatic,1.4,111,12929,green,2,0,online_marketplace,China,9515.47
S000106,2025-04-02,North America,Mexico,Fiat,Panda,mass,hatchback,2024,1.25,hybrid,automatic,1.4,128,23062,red,1,0,private,Italy,13469.62
S000107,2021-03-05,India,India,Honda,Jazz,mass,hatchback,2021,0.17,diesel,cvt,1.4,113,6529,yellow,1,0,dealer_new,Japan,11807.08
S000108,2025-10-21,Western Europe,Spain,Honda,Accord,mass,sedan,2025,0.8,electric,automatic,2.0,197,10122,red,1,0,dealer_new,Japan,30920.27
S000109,2025-12-27,North America,Mexico,Volkswagen,ID.4,mass,suv,2025,0.99,electric,automatic,2.0,189,5301,blue,1,0,online_marketplace,Germany,33030.5
S000110,2026-03-27,North America,USA,Geely,Atlas,mass,suv,2026,0.23,hybrid,dct,2.0,151,3456,orange,1,0,dealer_new,China,27291.96
S000111,2022-02-16,North America,Mexico,Chery,Arrizo 5,mass,sedan,2021,1.13,hybrid,automatic,1.4,101,15830,yellow,2,0,dealer_used,China,14116.96
S000112,2026-02-26,China,China,Nissan,Leaf,mass,hatchback,2025,1.15,hybrid,automatic,1.4,135,9016,red,1,0,private,Japan,16936.85
S000113,2026-01-08,Western Europe,Sweden,Porsche,Cayenne,luxury,suv,2026,0.02,electric,automatic,3.0,416,0,blue,1,0,dealer_used,Germany,169920.8
S000114,2022-09-13,Latin America,Chile,Geely,Atlas,mass,suv,2021,1.7,diesel,automatic,2.0,165,16893,silver,2,0,dealer_used,China,13678.52
S000115,2026-03-12,China,China,Geely,Emgrand,mass,sedan,2019,7.19,electric,automatic,1.4,92,109264,grey,1,0,private,China,2577.47
S000116,2023-05-02,Western Europe,UK,BMW,X5,premium,suv,2021,2.33,petrol,automatic,3.0,296,33132,brown,3,0,dealer_used,Germany,51709.5
S000117,2025-08-13,Africa,Nigeria,Mahindra,XUV700,mass,suv,2023,2.61,petrol,automatic,3.0,414,51758,silver,1,0,dealer_used,India,9010.1
S000118,2025-05-25,Southeast Asia,Indonesia,BYD,Dolphin,mass,hatchback,2024,1.4,hybrid,automatic,1.4,102,19997,black,1,2,online_marketplace,China,9030.34
S000119,2025-05-27,Western Europe,UK,Nissan,X-Trail,mass,suv,2025,0.4,diesel,cvt,2.0,203,895,green,1,0,dealer_new,Japan,30486.11
S000120,2025-08-27,North America,USA,Tesla,Model Y,premium,suv,2020,5.65,electric,automatic,2.0,186,102647,brown,1,0,online_marketplace,USA,18797.52
S000121,2025-05-27,Western Europe,Sweden,Mahindra,Thar,mass,suv,2024,1.4,hybrid,automatic,2.0,186,23148,red,1,1,dealer_used,India,15952.64
S000122,2025-12-26,Latin America,Chile,Hyundai,Tucson,mass,suv,2024,1.98,petrol,cvt,2.0,215,23241,white,2,0,online_marketplace,South Korea,13971.12
S000123,2026-01-08,China,China,Lexus,RX,premium,suv,2024,2.02,hybrid,cvt,3.0,387,42360,orange,2,0,online_marketplace,Japan,49967.37
S000124,2025-07-30,North America,Mexico,Hyundai,Elantra,mass,sedan,2025,0.57,petrol,automatic,1.4,118,7977,yellow,1,1,private,South Korea,16177.26
S000125,2023-12-21,North America,USA,Tesla,Model S,premium,sedan,2023,0.97,electric,automatic,3.0,389,9675,orange,1,0,private,USA,58448.95
S000126,2026-02-08,China,China,Volkswagen,Passat,mass,sedan,2026,0.1,diesel,automatic,2.0,175,1447,yellow,1,0,dealer_used,Germany,24174.04
S000127,2024-12-07,Latin America,Chile,Skoda,Fabia,mass,hatchback,2023,1.93,diesel,dct,1.4,133,44227,blue,4,0,dealer_used,Czechia,10466.99
S000128,2025-08-23,Japan,Japan,Nissan,X-Trail,mass,suv,2024,1.64,hybrid,automatic,2.0,211,19191,orange,1,0,dealer_used,Japan,23575.89
S000129,2024-08-30,Western Europe,Italy,Kia,Optima,mass,sedan,2021,3.66,electric,automatic,2.0,140,86944,yellow,2,0,dealer_used,South Korea,7912.09
S000130,2026-01-23,South Korea,South Korea,Jeep,Compass,mass,suv,2026,0.06,electric,automatic,2.0,144,1752,green,1,1,dealer_new,USA,38287.93
S000131,2026-02-06,Japan,Japan,BYD,Atto 3,mass,suv,2026,0.1,electric,automatic,2.0,178,2016,orange,1,0,online_marketplace,China,26227.83
S000132,2021-10-12,Western Europe,Germany,Fiat,Tipo,mass,sedan,2018,3.78,diesel,cvt,1.4,119,40569,grey,3,0,online_marketplace,Italy,7055.37
S000133,2026-01-01,India,India,Nissan,Sentra,mass,sedan,2026,0.0,lpg,automatic,1.4,101,2193,blue,1,2,dealer_used,Japan,9469.67
S000134,2025-12-21,China,China,Honda,Civic,mass,sedan,2024,1.97,petrol,automatic,1.4,119,28665,blue,1,0,online_marketplace,Japan,14498.54
S000135,2026-02-15,Eastern Europe,Hungary,Porsche,Macan,luxury,suv,2025,1.12,diesel,dct,2.0,193,13006,grey,2,0,auction,Germany,68605.97
S000136,2026-02-26,Western Europe,Spain,Kia,Optima,mass,sedan,2026,0.15,diesel,manual,2.0,213,3665,brown,1,0,online_marketplace,South Korea,22271.52
S000137,2025-06-07,Eastern Europe,Poland,Chevrolet,Silverado,mass,pickup,2025,0.43,diesel,automatic,3.0,336,3117,white,1,0,dealer_used,USA,28887.99
S000138,2026-01-28,North America,USA,Chery,Tiggo 7,mass,suv,2025,1.07,petrol,automatic,2.0,200,14427,green,3,0,dealer_used,China,16329.43
S000139,2024-01-06,Middle East,Saudi Arabia,Ford,Mustang,mass,coupe,2021,3.01,diesel,automatic,3.0,254,39996,grey,2,1,online_marketplace,USA,16304.11
S000140,2026-04-03,Eastern Europe,Hungary,BYD,Han,mass,sedan,2026,0.25,electric,automatic,3.0,337,4315,green,1,0,online_marketplace,China,21669.79
S000141,2025-01-25,Southeast Asia,Indonesia,Kia,Rio,mass,hatchback,2025,0.07,petrol,automatic,1.4,128,1890,yellow,1,0,dealer_new,South Korea,13365.6
S000142,2025-06-14,China,China,Skoda,Fabia,mass,hatchback,2025,0.45,petrol,automatic,1.4,126,6660,orange,1,0,dealer_used,Czechia,19949.75
S000143,2022-11-11,North America,Mexico,BYD,Han,mass,sedan,2019,3.86,electric,automatic,3.0,380,83175,orange,1,0,dealer_used,China,12169.5
S000144,2025-03-02,Eastern Europe,Czechia,Skoda,Fabia,mass,hatchback,2024,1.17,hybrid,dct,1.4,99,22834,grey,1,0,dealer_used,Czechia,15025.48
S000145,2024-03-15,Eastern Europe,Romania,Nissan,Altima,mass,sedan,2024,0.2,petrol,automatic,2.0,146,8391,orange,1,0,dealer_new,Japan,20194.72
S000146,2026-03-31,Middle East,UAE,Tata,Harrier,mass,suv,2026,0.24,hybrid,cvt,2.0,155,1475,grey,1,0,private,India,17953.09
S000147,2026-04-02,Western Europe,Spain,Audi,A6,premium,sedan,2024,2.25,petrol,dct,3.0,286,45944,red,1,1,dealer_used,Germany,39079.31
S000148,2025-02-16,North America,Canada,Tesla,Model X,premium,suv,2023,2.13,electric,automatic,3.0,295,26989,orange,2,0,dealer_used,USA,48700.11
S000149,2025-12-27,India,India,Ford,Escape,mass,suv,2021,4.99,petrol,automatic,2.0,161,39178,white,2,0,dealer_used,USA,6390.18
S000150,2025-01-17,North America,USA,Land Rover,Defender,luxury,suv,2024,1.05,hybrid,manual,3.0,237,18156,brown,2,1,dealer_new,UK,83567.92
S000151,2025-10-29,China,China,Toyota,Yaris,mass,hatchback,2018,7.82,petrol,dct,1.4,136,79985,silver,1,0,dealer_used,Japan,5248.25
S000152,2025-11-28,India,India,Chery,Tiggo 7,mass,suv,2022,3.91,electric,automatic,2.0,187,81604,black,3,0,auction,China,3546.61
S000153,2024-11-12,North America,Canada,Chevrolet,Silverado,mass,pickup,2020,4.87,diesel,cvt,3.0,234,57462,black,3,1,dealer_used,USA,9489.97
S000154,2024-02-03,China,China,Honda,Civic,mass,sedan,2024,0.09,electric,automatic,1.4,133,3463,white,1,2,dealer_used,Japan,23990.52
S000155,2026-03-28,South Korea,South Korea,Chery,Tiggo 4,mass,suv,2026,0.24,diesel,automatic,1.4,100,2742,silver,1,1,private,China,16652.75
S000156,2025-09-01,Western Europe,Germany,Tesla,Model 3,premium,sedan,2024,1.67,electric,automatic,2.0,183,27413,white,2,0,dealer_used,USA,44494.11
S000157,2023-04-24,Western Europe,Spain,Chery,Tiggo 4,mass,suv,2020,3.31,hybrid,automatic,1.4,101,52899,black,1,0,auction,China,9120.77
S000158,2022-01-19,Western Europe,Germany,Toyota,RAV4,mass,suv,2021,1.05,petrol,automatic,2.0,196,16550,orange,1,0,dealer_used,Japan,34089.62
S000159,2026-04-10,North America,Mexico,Volvo,S60,premium,sedan,2020,6.27,petrol,automatic,2.0,141,161231,brown,2,0,dealer_used,Sweden,12633.63
S000160,2023-05-21,North America,USA,Chevrolet,Silverado,mass,pickup,2022,1.38,petrol,automatic,3.0,296,25527,brown,1,0,dealer_used,USA,23529.55
S000161,2025-11-30,Latin America,Chile,BYD,Seal,mass,sedan,2025,0.91,electric,automatic,2.0,182,15847,red,1,0,private,China,15198.92
S000162,2024-07-28,Western Europe,UK,Peugeot,3008,mass,suv,2023,1.57,electric,automatic,2.0,202,25434,black,1,2,online_marketplace,France,18314.49
S000163,2026-03-02,North America,Mexico,Toyota,Land Cruiser,mass,suv,2025,1.16,electric,automatic,3.0,338,8479,green,1,0,dealer_used,Japan,35930.74
S000164,2026-03-30,Eastern Europe,Hungary,Honda,Jazz,mass,hatchback,2026,0.24,petrol,automatic,1.4,127,3595,red,1,0,auction,Japan,16719.43
S000165,2025-07-30,China,China,Mazda,Mazda3,mass,hatchback,2024,1.58,hybrid,automatic,1.4,132,34988,green,1,2,auction,Japan,11371.91
S000166,2025-11-26,Western Europe,Netherlands,BMW,i4,premium,sedan,2024,1.9,petrol,automatic,2.0,213,28218,red,1,3,dealer_used,Germany,34851.69
S000167,2025-09-24,Middle East,UAE,Mazda,CX-5,mass,suv,2025,0.73,petrol,automatic,2.0,158,7171,yellow,1,0,dealer_used,Japan,29790.14
S000168,2026-02-01,Japan,Japan,Land Rover,Discovery,luxury,suv,2026,0.08,hybrid,automatic,3.0,247,0,red,1,0,online_marketplace,UK,109522.85
S000169,2026-02-27,Western Europe,Italy,Audi,A4,premium,sedan,2026,0.16,petrol,cvt,2.0,195,62,grey,1,0,private,Germany,54188.37
S000170,2026-03-09,North America,Mexico,Volkswagen,Tiguan,mass,suv,2026,0.18,petrol,automatic,2.0,165,4986,green,1,0,dealer_used,Germany,34632.62
S000171,2024-03-27,Western Europe,Sweden,BMW,5 Series,premium,sedan,2024,0.24,hybrid,automatic,3.0,392,756,grey,1,0,dealer_new,Germany,84258.84
S000172,2025-10-22,Eastern Europe,Czechia,Tesla,Model X,premium,suv,2024,1.81,electric,automatic,3.0,267,18652,silver,1,0,dealer_used,USA,44355.77
